Strassenklasse,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
nicht klassifiziert,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1445,Auto,Gut
Landesstrasse,31,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,3,trocken,weiblich,2240,Auto,Gut
Bundesstrasse,43,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,9,2,trocken,männlich,1430,Transporter,Gut
Bundesstrasse,32,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1545,Mottorrad (50cc),Gut
Autobahn,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1300,Auto,Gut
nicht klassifiziert,18,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1847,Auto,Gut (starker Wind)
Bundesstrasse,47,Fahrer,2,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,2028,Auto,Gut
nicht klassifiziert,10,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1748,Auto,Gut
nicht klassifiziert,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,5,nass / feucht,weiblich,1800,Auto,Gut (starker Wind)
nicht klassifiziert,97,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1238,Auto,Gut
Bundesstrasse,13,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,männlich,1415,Auto,Gut
Autobahn,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1326,Auto,Gut
Landesstrasse,4,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1000,Taxi,Gut
Bundesstrasse,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,855,Auto,Gut
nicht klassifiziert,23,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1342,Auto,Gut
Bundesstrasse,28,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,1840,Fahrrad,Gut
nicht klassifiziert,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1805,Mottorrad,Gut
nicht klassifiziert,18,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,1,trocken,weiblich,2330,Auto,Gut
nicht klassifiziert,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1445,Mottorrad (50cc),Gut
Bundesstrasse,57,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,713,Auto,Gut
Bundesstrasse,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1000,Auto,Gut
Bundesstrasse,81,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1307,Auto,Gut
nicht klassifiziert,69,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,weiblich,1020,Auto,Regen
Bundesstrasse,14,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,8,2,trocken,weiblich,45,Auto,Gut
Bundesstrasse,58,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,nass / feucht,männlich,1725,Auto,Regen
nicht klassifiziert,77,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1610,Auto,Gut
Bundesstrasse,29,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,54,Auto,Regen
nicht klassifiziert,18,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1600,Mottorrad (125cc),Gut
nicht klassifiziert,41,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1040,Taxi,Gut
Bundesstrasse,44,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,830,Auto,Gut
nicht klassifiziert,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,810,Mottorrad (500cc),Gut
nicht klassifiziert,51,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,935,Fahrrad,Gut
Bundesstrasse,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,904,Fahrrad,Gut
Landesstrasse,47,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1933,Fahrrad,Gut
nicht klassifiziert,32,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2335,Auto,Gut
Bundesstrasse,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1630,Fahrrad,Gut
Bundesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1740,Auto,Gut
Autobahn,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,Schnee,männlich,702,Auto,Schnee
nicht klassifiziert,6,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,3,nass / feucht,männlich,1840,Auto,Gut
nicht klassifiziert,36,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,2220,Transporter,Regen (starker Wind)
nicht klassifiziert,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,2010,Auto,Unbekannt
Bundesstrasse,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,848,Auto,Gut
Bundesstrasse,50,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,weiblich,1209,Auto,Gut
Bundesstrasse,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1753,Auto,Gut
nicht klassifiziert,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2058,Bus,Gut
nicht klassifiziert,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,600,Auto,Gut
Bundesstrasse,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,1100,Bus,Gut
Bundesstrasse,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,11,2,trocken,männlich,1940,Bus,Gut
Bundesstrasse,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,nass / feucht,weiblich,730,Auto,Gut
Bundesstrasse,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,7,2,trocken,männlich,29,Auto,Gut
nicht klassifiziert,9,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1915,Taxi,Gut
nicht klassifiziert,9,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1300,Auto,Gut
nicht klassifiziert,79,Fussgänger,3,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1335,Auto,Gut
nicht klassifiziert,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1720,Auto,Gut
nicht klassifiziert,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,910,Auto,Gut
nicht klassifiziert,12,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1115,Fahrrad,Gut
Bundesstrasse,44,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,nass / feucht,weiblich,210,Auto,Gut
Bundesstrasse,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1100,Auto,Gut
Bundesstrasse,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2035,Auto,Gut
Bundesstrasse,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1400,Taxi,Gut
nicht klassifiziert,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,Schnee,männlich,2100,Auto,Schnee
Landesstrasse,71,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1250,Auto,Gut
nicht klassifiziert,7,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1710,Auto,Gut
Bundesstrasse,57,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,815,Auto,Gut
nicht klassifiziert,27,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1138,Auto,Gut
nicht klassifiziert,51,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1530,Auto,Gut
nicht klassifiziert,14,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1515,Auto,Gut
Bundesstrasse,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2330,Auto,Gut
nicht klassifiziert,38,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,nass / feucht,männlich,1715,Auto,Regen
nicht klassifiziert,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1420,Fahrrad,Gut
nicht klassifiziert,48,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2000,Auto,Gut
nicht klassifiziert,1,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1530,Auto,Gut
nicht klassifiziert,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1700,Mottorrad (50cc),Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,930,Auto,Gut
nicht klassifiziert,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1943,Auto,Gut
nicht klassifiziert,50,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1126,Bus,Gut
nicht klassifiziert,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2300,Taxi,Gut
nicht klassifiziert,31,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,1930,Auto,Gut
Kraftfahrzeugstrasse,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,6,trocken,weiblich,841,Auto,Gut
Bundesstrasse,46,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2330,Mottorrad (500cc),Gut
Autobahn,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1104,Auto,Gut
nicht klassifiziert,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1715,Taxi,Gut
Bundesstrasse,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1105,Auto,Gut
nicht klassifiziert,32,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1448,Bus,Gut
nicht klassifiziert,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1520,Auto,Gut
Bundesstrasse,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1420,Mottorrad (500cc),Gut
nicht klassifiziert,67,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,1741,Auto,Gut
Bundesstrasse,23,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1130,Auto,Gut
nicht klassifiziert,35,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1750,Auto,Gut (starker Wind)
Bundesstrasse,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,752,Fahrrad,Gut
Bundesstrasse,18,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1534,Auto,Gut
Bundesstrasse,35,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,männlich,1940,Auto,Gut
nicht klassifiziert,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,Frost / Eis,männlich,700,Bus,Gut
Landesstrasse,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,720,Auto,Gut
Bundesstrasse,43,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1320,Auto,Gut
Bundesstrasse,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1720,Auto,Gut
Bundesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1245,Auto,Gut
Bundesstrasse,14,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,3,trocken,männlich,1110,Auto,Gut
Bundesstrasse,54,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1745,Fahrrad,Gut
nicht klassifiziert,18,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,2,1,nass / feucht,männlich,2220,Auto,Regen
Bundesstrasse,31,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,4,trocken,weiblich,1800,Auto,Gut
nicht klassifiziert,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,829,Auto,Gut
Bundesstrasse,47,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,810,Auto,Schnee (starker Wind)
nicht klassifiziert,34,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,143,Auto,Gut
nicht klassifiziert,39,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,930,Bus,Gut
nicht klassifiziert,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,800,Fahrrad,Gut
nicht klassifiziert,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1248,Auto,Andere
Autobahn,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1609,Auto,Gut
Bundesstrasse,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1200,Auto,Gut
nicht klassifiziert,42,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1720,Auto,Gut
nicht klassifiziert,26,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,4,1,trocken,weiblich,2356,Kleinbus,Gut
Bundesstrasse,27,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,1920,Auto,Regen
nicht klassifiziert,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2100,Auto,Gut
Landesstrasse,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,647,Taxi,Gut
nicht klassifiziert,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1710,Fahrrad,Gut
Bundesstrasse,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,713,Fahrrad,Regen
nicht klassifiziert,46,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,männlich,838,Transporter,Regen
Bundesstrasse,32,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,2115,Auto,Regen
Bundesstrasse,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,730,Auto,Gut
nicht klassifiziert,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2005,Mottorrad (50cc),Gut
nicht klassifiziert,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1705,Fahrrad,Gut
Bundesstrasse,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1835,Fahrrad,Gut
nicht klassifiziert,30,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1230,Bus,Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1505,Auto,Gut
nicht klassifiziert,14,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,815,Auto,Gut
Bundesstrasse,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,145,Auto,Gut
Autobahn,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1511,Auto,Gut
nicht klassifiziert,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1225,Auto,Gut
nicht klassifiziert,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2315,Mottorrad (50cc),Gut
nicht klassifiziert,76,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,2105,Auto,Gut
nicht klassifiziert,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,Frost / Eis,weiblich,725,Auto,Gut
nicht klassifiziert,42,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,2310,Auto,Gut
nicht klassifiziert,30,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,1935,Mottorrad (50cc),Gut
nicht klassifiziert,22,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1335,Auto,Gut
nicht klassifiziert,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1444,Mottorrad,Gut
nicht klassifiziert,31,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,131,Auto,Gut
Bundesstrasse,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1330,Auto,Gut
Bundesstrasse,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,830,Auto,Gut
nicht klassifiziert,24,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,7,2,nass / feucht,männlich,245,Auto,Gut
Bundesstrasse,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1145,Bus,Regen
nicht klassifiziert,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1425,Auto,Gut
Bundesstrasse,54,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1200,Auto,Gut
Bundesstrasse,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,1235,Auto,Gut
Bundesstrasse,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1520,Mottorrad (500cc),Gut
nicht klassifiziert,16,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,2110,Auto,Gut
Landesstrasse,60,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1743,Auto,Regen
nicht klassifiziert,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,920,Fahrrad,Gut
Kraftfahrzeugstrasse,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,nass / feucht,weiblich,1725,Auto,Gut
Bundesstrasse,24,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,150,Transporter,Gut
nicht klassifiziert,75,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,4,nass / feucht,weiblich,1120,Auto,Gut
Bundesstrasse,42,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1315,Auto,Gut
nicht klassifiziert,39,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1140,Auto,Gut
Bundesstrasse,20,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,115,Taxi,Gut
Bundesstrasse,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,805,Auto,Regen
nicht klassifiziert,14,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1510,Auto,Gut
Landesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1320,Auto,Gut
nicht klassifiziert,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,5,trocken,weiblich,1125,Auto,Gut
nicht klassifiziert,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1230,Bus,Regen
nicht klassifiziert,19,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,1,nass / feucht,weiblich,2255,Auto,Gut
Autobahn,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,männlich,344,Auto,Gut
Landesstrasse,49,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1445,Mottorrad (500cc),Gut
nicht klassifiziert,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Frost/ Ice,weiblich,1230,Auto,Gut
Landesstrasse,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1450,Auto,Gut
nicht klassifiziert,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,745,Mottorrad (500cc),Gut
nicht klassifiziert,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,148,Auto,Gut
nicht klassifiziert,70,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1825,Fahrrad,Gut
Bundesstrasse,36,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1130,Auto,Gut
Landesstrasse,71,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1326,Auto,Gut
Bundesstrasse,20,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1912,Mottorrad (50cc),Gut
nicht klassifiziert,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,1945,Auto,Gut
nicht klassifiziert,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1610,Auto,Gut
Bundesstrasse,38,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,705,Fahrrad,Gut
nicht klassifiziert,41,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,935,Bus,Gut
Bundesstrasse,48,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1412,Mottorrad (500cc),Regen
Kraftfahrzeugstrasse,26,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,2,1,nass / feucht,männlich,8,Auto,Regen
nicht klassifiziert,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2055,Auto,Gut
